ref,Title,Publication date,Authors,Publisher EN,Publisher FR,Publisher SP,Country EN,Country FR,Country SP,Language of the document,File Name
176,IITA Annual Report 2010,2010,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),,,,EN,IITA Annual Report 2010.pdf
177,IITA Annual Report 2011,2011,International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),International Institute of Tropical Agriculture (IITA),,,,EN,IITA_AnnualReport2011.pdf
178,Impact Assessment of SPS Measures using a Causal Chain Analysis,2010,Ulrich Kleih,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),,,,EN,Impact Assessment of SPS Measures using a Causal Chain Analysis.ppt
179,Impact Assessment of SPS Measures: Avocado case study - Kenya ,2010,A. Edewa; W. Otieno; U. Kleih,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),Kenya,Kenya,Kenya,EN,Impact Assessment of SPS Measures Avocado case study - Kenya.ppt
180,Impact Assessment of SPS Measures: Citrus Black Spot (CBS) case study - South Africa ,2010,U Kleih; D Cassidy,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),South Africa,Afrique du Sud,Sud�frica,EN,Impact Assessment of SPS Measures Citrus Black Spot (CBS) case study - South Africa.pdf
181,Impact Assessment of SPS Measures: Nile perch case study - Kenya ,2010,A. Edewa; L. Obungu; U. Kleih,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Natural Resources Institute (NRI),Kenya,Kenya,Kenya,EN,Impact Assessment of SPS Measures Nile perch case study - Kenya.ppt
182,Impact of EurepGAP on Small?Scale Vegetable Growers in Zambia,2007,A. Graffham; J. MacGregor,International Institute for Environment and Development (IIED),International Institute for Environment and Development (IIED),International Institute for Environment and Development (IIED),Zambia,Zambie,Zambia,EN,Impact of EurepGAP on Small?Scale Vegetable Growers in Zambia.pdf
183,Impact of Food Safety Standards on Processed Food Exports from Developing Countries,2009,Juthathip Jongwanich,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,ADB_ImpactFoodSafetyStandards.pdf
184,Implementation of the OIE standards for Animal Transportation,,Peter Thornber,"Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry","Australian Department of Agriculture, Fisheries and Forestry",Australia,Australie,Australia,EN,Implementation of the OIE standards for Animal Transportation.pdf
185,Implementing Agriculture for Development: World Bank Group Agriculture Action Plan: FY2010-2012,2009,The World Bank; International Finance Coorporation (IFC),The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Implementing Agriculture for Development WB Group Agriculture Action Plan 2010-2012.pdf
186,Implications du changement climatique sur les systèmes de production agricole durables dans les pays ACP,2008,Centre technique de cooperation agricole et rurale (CTA),Centre technique de cooperation agricole et rurale (CTA),Centre technique de cooperation agricole et rurale (CTA),Centre technique de cooperation agricole et rurale (CTA),,,,FR,Implications du changement climatique sur les systèmes de production agricole durables dans les pays ACP.pdf
187,Importance of Cold Chain to the Fish Industry (Vol. 28 No.6),2012,Izzat Feidi,Arab World Agribusiness,Arab World Agribusiness,Arab World Agribusiness,,,,EN,AWA_Importance_of_Cold_Chain_to_Fish_Industry_2012.pdf
188,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade - Technical Assistance Report,2012,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,ADB_GMS_TradeProject_TAReport.pdf
189,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Detailed SPS Issues Sector Assessment,2012,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,ADB_GMS_TradeProject_SPSAssessment.pdf
190,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Development Coordination,2012,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,ADB_GMS_TradeProject_DevelopmentCoordination.pdf
191,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic Analysis,2012,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,ADB_GMS_TradeProject_EconomicAnalysis.pdf
192,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Economic and Financial Analysis,2012,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,ADB_GMS_TradeProject_EconomicAndFinancialAnalysis.pdf
193,Improved SPS Handling in Greater Mekong Subregion (GMS) Trade Project - Sector Assessment Summary: Industry and Trade,2012,Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),Asian Development Bank (ADB),,,,EN,ADB_GMS_TradeProject_SPSAssessmentSummary.pdf
194,Improving Marketing Services for the Fiji Fruit and Vegetable Export Industry: An Alternative Livelihoods Project Proposal from Nature's Way,2006,Nature's Way Cooperative,Nature's Way Cooperative (Fiji) Limited,Nature's Way Cooperative (Fiji) Limited,Nature's Way Cooperative (Fiji) Limited,Fiji,Fidji,Fiji,EN,Improving Marketing Services for the Fiji Fruit and Vegetable Export Industry.pdf
195,Independent Evaluation - Malawi Capacity Building for Aflatoxin Management and Control in Groundnuts,2012,UNIDO Evaluation Group,United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),Malawi,Malawi,Malawi,EN,UNIDO_AflatoxinMalawi_FinalEvaluationReport.pdf
196,"India's Emergent Horticultural Exports, Addressing Sanitary and Phytosanitary Standards and Other Challenges",2007,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,India,Inde,India,EN,WB_IndiaSPSChallenges_May-07.pdf
197,Insect Pest Control Sub Programme,2009,Jesus Reyes Flores ,International Atomic Energy Agency (IAEA); Food and Agriculture Organization of the United Nations (FAO),International Atomic Energy Agency (IAEA); Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),International Atomic Energy Agency (IAEA); Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Insect Pest Control Sub Programme.ppt
198,Institutionalizing and Scaling up SPS-Food Safety Capacity Capacity through a Food Safety Knowledge Network Pilot in Southeast Asia,2010,Les Bourquin; Dan Clay,Michigan State University,Michigan State University,Michigan State University,,,,EN,Institutionalizing and Scaling up SPS-Food Safety Capacity.pdf
199,"Integrated Approach to Food Safety, Plant and Animal Health:  National Biosecurity Capacity; Country Report of the Republic of Gambia",2009,Londa Vanderwal,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Gambia,Gambie,Gambia,EN,Integrated Approach - Capacity Country Report of the Republic of Gambia.pdf
200,"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Kenya",2005,Nancy K. Gitonga,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Kenya,Kenya,Kenya,EN,Integrated Approach - Capacity Country Report of the Republic of Kenya.pdf
201,"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Republic of Malawi",2005,Londa Vanderwal,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Malawi,Malawi,Malawi,EN,Integrated Approach - Capacity Country Report of the Republic of Malawi.pdf
202,"Integrated Approach to Food Safety, Plant and Animal Health: National Biosecurity Capacity; Country Report of the Socialist Republic of Viet Nam",2009,Ruth Frampton,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Viet Nam,Viet Nam,Viet Nam,EN,Integrated Approach - Country Report of the Socialist Republic of Viet Nam.pdf
203,Integrating economics with risk assessment to inform SPS decisions,2009,Clare Narrod ,International Food Policy Research Institute (IFPRI),International Food Policy Research Institute (IFPRI),International Food Policy Research Institute (IFPRI),,,,EN,Integrating economics with risk assessment to inform SPS decisions.pdf
204,Integration and Trade Sector (INT) activities on SPS related issues,2010,Juliana Salles Almeida,Inter-American Development Bank (IDB),Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),,,,EN,Integration and Trade Sector (INT) activities on SPS related issues.pdf
205,Integration and Trade Sector (INT) activities on SPS related issues (June 2011),2011,Juliana Salles Almeida,Inter-American Development Bank (IDB),Banque interaméricaine de développement (BID),Banco Interamericano de Desarrollo (BID),,,,EN,Integration and Trade Sector (INT) activities on SPS related issues (June 2011).pdf
206,Interafrican Phytosanitary Council,2009,Abdel Fattah Mabrouk Amer,Inter-African PhytoSanitary Council (IAPSC),Conseil Phytosanitaire Interafricain (IAPSC),Inter-African PhytoSanitary Council (IAPSC),,,,EN,Inter African Phytosanitary Council.ppt
207,International Plant Protection Convention (New Revised Text 1997),1997,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),,,,EN,International Plant Protection Convention (New Revised Text) 1997.pdf
208,International Trade and Food Safety - Economic Theory and Case Studies,2003,United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),United States Department of Agriculture (USDA),,,,EN,International Trade and Food Safety Economic Theory and Case Studies.pdf
209,Intra-Africa Agricultural Trade: A South African Perspective,2006,Y. Daya; T.R. Ranoto; M.A Letsoalo,"Department of Agriculture, Forestry and Fisheries (DAFF) (South Africa)","Department of Agriculture, Forestry and Fisheries (DAFF) (South Africa)","Department of Agriculture, Forestry and Fisheries (DAFF) (South Africa)",South Africa,Afrique du Sud,Sud�frica,EN,Intra-Africa Agricultural Trade - A South African Perspective.pdf
210,IPPC National Phytosanitary Capacity Building Strategy,2010,International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),International Plant Protection Convention (IPPC),,,,EN,IPPC_National_Phytosanitary_Capacity_.doc
211,ITC Project on Non-Tariff Measures,2010,Mondher Mimouni,International Trade Centre (ITC),International Trade Centre (ITC),International Trade Centre (ITC),,,,EN,ITC Project on Non-Tariff Measures.pdf
212,Joint Efforts on Seafood Safety - Case Study,2010,Consumer Goods Forum,SGS S.A.,SGS S.A.,SGS S.A.,,,,EN,Joint Efforts on Seafood Safety - Case Study.pdf
213,La problematique sanitaire et phytosanitaire au Niger,2006,La Banque mondiale,The World Bank,La Banque mondiale,El Banco Mundial ,Niger,Niger,Níger,FR,WB_ProblematiqueSPSNiger_Jun-06.pdf
214,Lao PDR Trade Development Facility - Risk Management Workshop,2011,Gerard McLinden; Kees Van Der Meer,The World Bank,La Banque mondiale,El Banco Mundial ,Lao People's Democratic Republic,République démocratique populaire lao,Republica Democr�tica Popular Lao,EN,Lao PDR Trade Development Facility.ppt
215,"Lao PDR, Sanitary and Phytosanitary Standards Management - Action Plan for Capacity Building",2006,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Lao People's Democratic Republic,République démocratique populaire lao,Republica Democr�tica Popular Lao,EN,WB_LaoSPSActionPlan_Dec-06.pdf
216,"Lao People's Democratic Republic - Sanitary and Phytosanitary Measures: Enhancing Trade, Food Safety and Agricultural Health",2009,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Lao People's Democratic Republic,République démocratique populaire lao,Republica Democr�tica Popular Lao,EN,Sanitary and Phytosanitary Measures Enhancing Trade Food Safety  and Agricultural Health.pdf
217,Linking Farmers to Markets - Exporting Malian Mangoes to Europe,2003,Morgane Danielou; Patrick Labaste; Jean-Michel Voisard,The World Bank,La Banque mondiale,El Banco Mundial ,Mali,Mali,Malí,EN,Linking Farmers to Markets - Exporting Malian Mangoes to Europe.pdf
218,Linking smallholders to markets for non-traditional agricultural exports - A review of experiences in the Caribbean Basin,2008,Jason Donovan; Nigel Poole,European Union; Food and Agriculture Organization of the United Nations (FAO),Union européenne; Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Unión Europea; Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,EN,Linking smallholders to markets for non-traditional agricultural exports - a review of experiences in the Caribbean Basin.doc
219,Livestock and Global Climate Change,2008,British Society of Animal Science,Cambridge University Press,Cambridge University Press,Cambridge University Press,,,,EN,Livestock and Global Climate Change.pdf
220,Mainstreaming adaptation to climate change in the development process in Uganda,2005,Victor A. Orindi; Siri Eriksen,African Centre for Technology Studies (ACTS),African Centre for Technology Studies (ACTS),African Centre for Technology Studies (ACTS),Uganda,Ouganda,Uganda,EN,Mainstreaming adaptation to climate change in the development process in Uganda.pdf
221,Making Markets Work in Africa,2009,International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),International Livestock Research Institute (ILRI),,,,EN,Why Markets Don't Work in Africa.aspx
222,"Making the Grade - Smallholder Farmers, Emerging Standards, and Development Assistance Programs in Africa",2011,Steven Jaffee; Spencer Henson; Luz Diaz Rios,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,"Making the Grade - Smallholder Farmers, Emerging Standards, and Development Assistance Programs in Africa.pdf"
223,Malawi Diagnostic Trade and Integration Study,2004,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Malawi,Malawi,Malawi,EN,Malawi Diagnostic Trade and Integration Study.pdf
224,Management of Fruit Flies in the Pacific,2005,Ross McLeod,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),,,,EN,Management of Fruit Flies in the Pacific.pdf
225,Managing SPS Measures in SPECA Countries - Completing the Transition,2010,Kees van der Meer,United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,Managing SPS Measures in SPECA Countries - Completing the Transition (Powerpoint).pdf
226,Managing SPS Measures in SPECA Countries - Completing the Transition,2010,Kees van der Meer,United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,Managing SPS Measures in SPECA Countries - Completing the Transition.pdf
227,Managing the Global Risks of Invasive Species,2007,DIVERSITAS; Global Invasive Species Programme (GISP) ,Global Invasive Species Programme (GISP),Global Invasive Species Programme (GISP),Global Invasive Species Programme (GISP),,,,EN,Managing the global risks of invasive species submission by diversitasglobal invasive species program to the CBD in depth r.pdf
228,Mango Value Chain,2009,Centre for the Promotion of Imports from developing countries (CBI),Centre for the Promotion of Imports from developing countries (CBI),Centre for the Promotion of Imports from developing countries (CBI),Centre for the Promotion of Imports from developing countries (CBI),Mali,Mali,Malí,EN,Mango Value Chain (Video).mht
229,Manual de auditoría en procesos de notificación de medidas sanitarias y fitosanitarias a la OMC,2010,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,Annex 4 Manual-Auditoria-Esp.pdf
230,Manual de buenas pr�cticas de participación en reuniones de la Convención Internacional de Protección Fitosanitaria (CIPF),2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,Annex 3 Manual-CIPF-Esp.pdf
231,Manual de buenas pr�cticas de participación en reuniones del Codex Alimentarius,2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,Annex 3 Manual-Codex-Esp.pdf
232,Manual de buenas pr�cticas de participación en reuniones del Comité MSF de la Organización Mundial del Comercio (OMC),2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,Annex 3 Manual-OMC-Esp.pdf
233,Market Access in Switzerland and in the European Union for Agricultural Products from least-developed Countries,2008,Christian H�berli,Swiss National Centre of Competence in Research (NCCR),Swiss National Centre of Competence in Research (NCCR),Swiss National Centre of Competence in Research (NCCR),,,,EN,Market Access in Switzerland and in the European Union for Agricultural Products from least-developed Countries.pdf
234,Measuring costs and benefits of Non-Tariff Measures in Agri-Food Trade,2011,John C. Beghin; Anne-Celia Disdier; Stephan Marette; Frank van Tongeren,Iowa State University,Iowa State University,Iowa State University,,,,EN,Measuring costs and benefits of Non-Tariff Measures in Agri-Food Trade.pdf
235,Measuring the Impact of SPS Standards on Market Access,2010,Tim Josling; Donna Roberts,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),,,,EN,Measuring the Impact of SPS Standards on Market Access.pdf
236,"Meeting Standards - Winning Markets Trade Standards Compliance 2010, Rationale and Key Findings",2010,United Nations Industrial Development Organization (UNIDO); Norwegian Agency for Development Cooperation (Norad); Insitute of Development Studies (IDS),United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,UNIDO_TSC2010_RationaleAndKeyFindings.pdf
237,Meeting Standards - Winning Markets UNIDO's Trade Standards Compliance Report,2011,United Nations Industrial Development Organization (UNIDO),United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,Meeting Standards - Winning Markets UNIDO's Trade Standards Compliance Report.pdf
238,"Meeting Standards, Winning Markets - Trade Standards Compliance 2010",2011,United Nations Industrial Development Organization (UNIDO); Norwegian Agency for Development Cooperation (Norad); Institue of Development Studies (IDS),United Nations Industrial Development Organization (UNIDO),Organisation des Nations Unies pour le développement industriel (ONUDI),Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI),,,,EN,"Meeting Standards, Winning Markets Trade Standards Compliance.pdf"
239,"Methodology for creating phytosanitary hazard profiles for plants, plant products, and other regulated articles",2010,Velia Arriagada Ríos,Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,EN,Annex 5 Methodology for Creating Phytosanitary Hazard Profiles.pdf
240,"Metodología para construir perfiles de peligro fitosanitario de plantas, productos vegetales y otros artículos reglamentados",2009,Instituto Interamericano de Cooperación para la Agricultura (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),,,,SP,Annex 5 Metodología para Construir Perfiles de Peligros Fitosanitarios.pdf
241,Missing the Market - How exotic foods are being barred from the EU,2007,Anne Moorhead,United Nations Conference on Trade and Development (UNCTAD),Conférence des Nations Unies sur le commerce et le développement (UNCTAD),Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (UNCTAD),,,,EN,Missing the Market - How exotic foods are being barred from the EU.pdf
242,Moldova - Managing food safety and agricultural health: An action plan,2006,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Moldova,Moldova,Moldova,EN,WB_MoldovaSPSActionPlan.pdf
243,Mozambique - Trends in Growth of Modern Retail and Wholesale Chain and Related Agribusiness,2007,Regoverning Markets Programme,International Institute for Environment and Development (IIED),International Institute for Environment and Development (IIED),International Institute for Environment and Development (IIED),Mozambique,Mozambique,Mozambique,EN,Mozambique - Trends in Growth of Modern Retail and Wholesale Chain and Related Agribusiness.pdf
244,Mozambique Diagnostic Trade Integration Study - Summary of National Validation Workshop,2004,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Mozambique,Mozambique,Mozambique,EN,Mozambique Diagnostic Trade Integration Study - Summary of National Validation Workshop.pdf
245,"Much to lose, little to gain: Assessing EPAs from the perspective of Malawi",2007,Mari Griffith,Tearfund,Tearfund,Tearfund,Malawi,Malawi,Malawi,EN,Much_to_lose_little_to_gain_TearFund.pdf
246,"Much to lose, little to gain: Assessing EPAs from the perspective of Malawi - A brief for Tearfund partners",2007,Mari Griffith,Tearfund,Tearfund,Tearfund,Malawi,Malawi,Malawi,EN,"Much to lose, little to Gain -  Assessing EPAs from the perspective of Malawi, A brief for Tearfund partners.pdf"
247,Necesidades de Nicaragua en materia de Medidas Sanitarias y Fitosanitarias,2008,Maxwell Reyna,"Ministerio de Fomento, Industria y Comercio (MIFIC) de Nicaragua","Ministerio de Fomento, Industria y Comercio (MIFIC) de Nicaragua","Ministerio de Fomento, Industria y Comercio (MIFIC) de Nicaragua",Nicaragua,Nicaragua,Nicaragua,SP,Necesidades de Nicaragua en materia de Medidas Sanitarias y Fitosanitarias (Nicaragua).pdf
248,Necesidades y Prioridades de Costa Rica,2008,Amparo Pacheco,Ministerio de Comercio Exterior (COMEX) de Costa Rica,Ministerio de Comercio Exterior (COMEX) de Costa Rica,Ministerio de Comercio Exterior (COMEX) de Costa Rica,Costa Rica,Costa Rica,Costa Rica,SP,Necesidades y Prioridades Costa Rica.pdf
249,Necesidades y Prioridades Nacionales,2008,Julio Corado,Dirección de Administración de Comercio Exterior de Guatemala,Dirección de Administración de Comercio Exterior de Guatemala,Dirección de Administración de Comercio Exterior de Guatemala,Guatemala,Guatemala,Guatemala,SP,Necesidades y Prioridades Nacionales (Guatemala).pdf
250,Non-Tariff Barriers and Regional Standards in the EAC Dairy Sector,2010,Michael F. Jensen; John Keyser; Nicholas Strychacz,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Non-Tariff Barriers Regional Standards in the EAC Dairy Sector.pdf
251,Non-Tariff Measures in Agri?Food Trade: Improving Policy Coherence for Development (PCD in Focus),2013,Organisation for Economic Co-operation and Development (OECD),Organisation for Economic Co-operation and Development (OECD),Organisation de Coopération et de Développement �conomiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),,,,EN,OECD_Note_PCD_in_Focus_NTMs_Jan-13.pdf
252,Non-Tariff Measures on Goods Trade in the East African Community: Assessment of Regional Dairy Trade,2010,Michael F. Jensen; John C. Keyser,The World Bank,La Banque mondiale,El Banco Mundial ,,,,EN,Non-Tariff Measures on Goods Trade  in the EAC Assessment of Regional Dairy Trade.pdf
253,Normas y sistemas de certificación públicos y privados para sanidad animal y vegetal e inocuidad de los alimentos,2008,Allan Hruska,Food and Agriculture Organization of the United Nations (FAO),Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),,,,SP,Normas y Sistemas de Certificación Públicos y Privados para Sanidad Animal y Vegetal e Inocuidad de los Alimentos (FAO).pdf
254,Normes de qualité pour les produits agroalimentaires en Afrique de l'Ouest,2009,Arlène Alpha; Cécile Broutin,Agence Française de Développement,Agence Française de Développement,Agence Française de Développement,,,,FR,Normes de qualité pour les produits agroalimentaires en Afrique de lOuest.pdf
255,OIE Bulletin No. 2011-2 - Rinderpest Eradication,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,Bulletin No. 2 - Rinderpest Eradication (2011).pdf
256,OIE Bulletin No. 2011-3 - Rabies a priority for humans and animals,2011,World Organisation for Animal Health  (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,Bulletin No. 3 - Rabies a priority for humans and animals (2011).pdf
257,OIE Economic Studies Part I: Prevention Versus Outbreak Costs,2007,Agra CEAS Consulting,World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,Prevention versus outbreak costs.ppt
258,OIE Fact Sheet - Animal Diseases Prevention and Control,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,OIE Fact Sheet - Animal Diseases and Prevention Control.pdf
259,OIE Fact Sheet - Animal Welfare,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,OIE Fact Sheet - Animal Welfare.pdf
260,OIE Fact Sheet - Food Safety,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,OIE Fact Sheet - Food Safety.pdf
261,OIE Fact Sheet - Official Disease Status of Members,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,OIE Fact Sheet - Official disease status of Members.pdf
262,OIE Guidelines on Veterinary Legislation,,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Organisation mondiale de la santé animale (OIE) ,Organización Mundial de Sanidad Animal (OIE) ,,,,EN,OIE Guidelines on veterinary legislation.pdf
263,Operating costs of trade-related sanitary and phyto-sanitary surveillance activities in the Lao PDR,2010,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Lao People's Democratic Republic,République démocratique populaire lao,Republica Democr�tica Popular Lao,EN,Operating costs of trade-related sanitary and phyto-sanitary surveillance activities in the Lao PDR.pdf
264,Operational Costs of Trade-Related Sanitary and Phytosanitary Activities in Lao PDR,2010,The World Bank,The World Bank,La Banque mondiale,El Banco Mundial ,Lao People's Democratic Republic,République démocratique populaire lao,Republica Democr�tica Popular Lao,EN,Operational Costs of Trade-Related Sanitary and Phytosanitary Activities.pdf
265,Opportunities and Challenges for Intra-ACP Trade in Fish and Fishery Products,2010,Martin Tsamenyi; Alistair McIlgorm,Commonwealth Secretariat ,Commonwealth Secretariat ,Commonwealth Secretariat ,,,,EN,Opportunities and Challenges for Intra-ACP Trade in Fish and Fishery Products.pdf
266,Organic Farming and Climate Change,2007,International Trade Centre (ITC),International Trade Centre (ITC),International Trade Centre (ITC),International Trade Centre (ITC),,,,EN,Organic_Farming_and_Climate_Change.pdf
267,Overview of the IAEA's Technical Cooperation Programme,2009,Oscar Acuna and Sandra Steyskal,International Atomic Energy Agency (IAEA),International Atomic Energy Agency (IAEA),International Atomic Energy Agency (IAEA),,,,EN,Overview of the IAEA's Technical Cooperation Programme.ppt
268,Overview of the Sanitary and Phytosanitary Measures in Quad Countries on Tropical Fruits and Vegetables Imported from Developing Countries,2005,Ellen Pay,South Centre,South Centre,South Centre,Canada; European Union; Japan; United States,Canada; Union européenne; Japon; Etats-Unis,Canad�; Unión Europea; Japón; Estados Unidos,EN,Overview of the Sanitary and Phytosanitary Measures in Quad Countries.pdf
269,Overview of the use of economic analysis to set priorities for SPS capacity building,2011,Spencer Henson,University of Guelph; University of Sussex,University of Guelph; University of Sussex,University of Guelph; University of Sussex,,,,EN,Overview of the use of economic analysis to set priorities for SPS capacity building.pdf
