Ref,Title (EN),Publication date,Authors,Publisher (EN),Keywords (EN),Country:CountryNameEN,Country:CountryNameES,Country:CountryNameFR,Language of the document,FileName,Publisher (FR),Publisher (SP),Title (FR),Title (SP),Type of the document (EN),Type of the document (FR),Type of the document (SP)
194,Necesidades de Nicaragua en materia de Medidas Sanitarias y Fitosanitarias,2008,Maxwell Reyna,"Ministerio de Fomento, Industria y Comercio (MIFIC) de Nicaragua",SPS-General,Nicaragua,Nicaragua,Nicaragua,SP,Necesidades de Nicaragua en materia de Medidas Sanitarias y Fitosanitarias (Nicaragua).pdf,"Ministerio de Fomento, Industria y Comercio (MIFIC) de Nicaragua","Ministerio de Fomento, Industria y Comercio (MIFIC) de Nicaragua",Necesidades de Nicaragua en materia de Medidas Sanitaias y Fitosanitarias,Necesidades de Nicaragua en materia de Medidas Sanitarias y Fitosanitarias,Other,Autres,Otro
195,Necesidades y Prioridades de Costa Rica,2008,Amparo Pacheco,Ministerio de Comercio Exterior (COMEX) de Costa Rica,SPS-General,Costa Rica,Costa Rica,Costa Rica,SP,Necesidades y Prioridades Costa Rica.pdf,Ministerio de Comercio Exterior (COMEX) de Costa Rica,Ministerio de Comercio Exterior (COMEX) de Costa Rica,Necesidades y Prioridades de Costa Rica,Necesidades y Prioridades de Costa Rica,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
196,Necesidades y Prioridades Nacionales,2008,Julio Corado,Dirección de Administración de Comercio Exterior de Guatemala,SPS-General,Guatemala,Guatemala,Guatemala,SP,Necesidades y Prioridades Nacionales (Guatemala).pdf,Dirección de Administración de Comercio Exterior de Guatemala,Dirección de Administración de Comercio Exterior de Guatemala,Necesidades y Prioridades Nacionales,Necesidades y Prioridades Nacionales,Other,Autres,Otro
197,Non-Tariff Barriers and Regional Standards in the EAC Dairy Sector,2010,Michael F. Jensen; John Keyser; Nicholas Strychacz,The World Bank,SPS-General,,,,EN,Non-Tariff Barriers Regional Standards in the EAC Dairy Sector.pdf,The World Bank,The World Bank,Non-Tariff Barriers and Regional Standards in the EAC Dairy Sector,Non-Tariff Barriers and Regional Standards in the EAC Dairy Sector,Other,Autres,Otro
198,Non-Tariff Measures on Goods Trade in the East African Community: Assessment of Regional Dairy Trade,2010,Michael F. Jensen; John C. Keyser,The World Bank,SPS-General,,,,EN,Non-Tariff Measures on Goods Trade  in the EAC Assessment of Regional Dairy Trade.pdf,The World Bank,The World Bank,Non-Tariff Measures on Goods Trade in the East African Community: Assessment of Regional Dairy Trade,Non-Tariff Measures on Goods Trade in the East African Community: Assessment of Regional Dairy Trade,Other,Autres,Otro
199,Normas y sistemas de certificación públicos y privados para sanidad animal y vegetal e inocuidad de los alimentos,2008,Allan Hruska,Food and Agriculture Organization (FAO),SPS-General,,,,SP,Normas y Sistemas de Certificación Públicos y Privados para Sanidad Animal y Vegetal e Inocuidad de los Alimentos (FAO).pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Normas y sistemas de certificación públicos y privados para sanidad animal y vegetal e inocuidad de los alimentos,Normas y sistemas de certificación públicos y privados para sanidad animal y vegetal e inocuidad de los alimentos,Other,Autres,Otro
200,Normes de qualité pour les produits agroalimentaires en Afrique de l’Ouest,2009,"Arlène Alpha, Cécile;  Broutin, Gret",Agence Française de Développement,Food Safety,,,,FR,Normes de qualité pour les produits agroalimentaires en Afrique de lOuest.pdf,Agence Française de Développement,Agence Française de Développement,Normes de qualité pour les produits agroalimentaires en Afrique de l’Ouest,Normes de qualité pour les produits agroalimentaires en Afrique de l’Ouest,Other,Autres,Otro
201,OIE Brochure,,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,OIE Brochure.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Brochure,OIE Brochure,Other,Autres,Otro
202,Costs of National Prevention Systems for National Diseases and Zoonoses - Transitional and Developing Countries,2009,Civic Consulting,World Organisation for Animal Health (OIE),Animal Health,,,,EN,OIE Costs of National Prevention Systems for National Diseases and Zoonoses - Transitional and Developing Countries.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Costs of National Prevention Systems for National Diseases and Zoonoses - Transitional and Developing Countries,Costs of National Prevention Systems for National Diseases and Zoonoses - Transitional and Developing Countries,Other,Autres,Otro
203,OIE Fact Sheet - Animal Diseases Prevention and Control,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,OIE Fact Sheet - Animal Diseases and Prevention Control.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Fact Sheet - Animal Diseases Prevention and Control,OIE Fact Sheet - Animal Diseases Prevention and Control,Paper,Papier,Papel
204,OIE Fact Sheet - Animal Welfare,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,OIE Fact Sheet - Animal Welfare.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Fact Sheet - Animal Welfare,OIE Fact Sheet - Animal Welfare,Other,Autres,Otro
205,OIE Fact Sheet - Food Safety,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,OIE Fact Sheet - Food Safety.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Fact Sheet - Food Safety,OIE Fact Sheet - Food Safety,Other,Autres,Otro
206,OIE Fact Sheet - Official Disease Status of Members,2011,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,OIE Fact Sheet - Official disease status of Members.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Fact Sheet - Official Disease Status of Members,OIE Fact Sheet - Official Disease Status of Members,Other,Autres,Otro
207,OIE Guidelines on Veterinary Legislation,,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),Animal Health,,,,EN,OIE Guidelines on veterinary legislation.pdf,World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),OIE Guidelines on Veterinary Legislation,OIE Guidelines on Veterinary Legislation,Other,Autres,Otro
208,Operating costs of trade-related sanitary and phyto-sanitary surveillance activities in the Lao PDR,2010,The World Bank,The World Bank,SPS-General,Lao People's Democratic Republic,Republica Democrática Popular Lao,République démocratique populaire lao,EN,Operating costs of trade-related sanitary and phyto-sanitary surveillance activities in the Lao PDR.pdf,The World Bank,The World Bank,Operating costs of trade-related sanitary and phyto-sanitary surveillance activities in the Lao PDR,Operating costs of trade-related sanitary and phyto-sanitary surveillance activities in the Lao PDR,Other,Autres,Otro
209,Operational Costs of Trade-Related Sanitary and Phytosanitary Activities in Lao PDR,2010,The World Bank,The World Bank,SPS-General,Lao People's Democratic Republic,Republica Democrática Popular Lao,République démocratique populaire lao,EN,Operational Costs of Trade-Related Sanitary and Phytosanitary Activities.pdf,The World Bank,The World Bank,Operational Costs of Trade-Related Sanitary and Phytosanitary Activities in Lao PDR,Operational Costs of Trade-Related Sanitary and Phytosanitary Activities in Lao PDR,Report,Rapport,Reporte
210,Opportunities and Challenges for Intra-ACP Trade in Fish and Fishery Products,2010,Martin Tsamenyi; Alistair McIlgorm,Commonwealth Secretariat ,Food Safety,,,,EN,Opportunities and Challenges for Intra-ACP Trade in Fish and Fishery Products.pdf,Commonwealth Secretariat ,Commonwealth Secretariat ,Opportunities and Challenges for Intra-ACP Trade in Fish and Fishery Products,Opportunities and Challenges for Intra-ACP Trade in Fish and Fishery Products,Report,Rapport,Reporte
211,Organic Farming and Climate Change,2007,International Trade Centre,International Trade Centre (ITC),SPS-General,,,,EN,Organic_Farming_and_Climate_Change.pdf,International Trade Centre (ITC),International Trade Centre (ITC),Organic Farming and Climate Change,Organic Farming and Climate Change,Report,Rapport,Reporte
212,Overview of the Sanitary and Phytosanitary Measures in Quad Countries on Tropical Fruits and Vegetables Imported from Developing Countries,2005,Ellen Pay,South Centre,SPS-General,Canada,Canadá,Canada,EN,Overview of the Sanitary and Phytosanitary Measures in Quad Countries.pdf,South Centre,South Centre,Overview of the Sanitary and Phytosanitary Measures in Quad Countries on Tropical Fruits and Vegetables Imported from Developing Countries,Overview of the Sanitary and Phytosanitary Measures in Quad Countries on Tropical Fruits and Vegetables Imported from Developing Countries,Other,Autres,Otro
213,Overview of the use of economic analysis to set priorities for SPS capacity building,2011,Spenver Henson,University of Guelph,SPS-General,,,,EN,Overview of the use of economic analysis to set priorities for SPS capacity building.pdf,University of Guelph,University of Guelph,Overview of the use of economic analysis to set priorities for SPS capacity building,Overview of the use of economic analysis to set priorities for SPS capacity building,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
214,Painted Apple Moth: Reassessment of Potential Economic Impacts,2002,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Plant Health,New Zealand,Nueva Zelandia,Nouvelle-Zélande,EN,Painted Apple Moth Reassessment of Potential Economic Impacts.pdf,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Painted Apple Moth: Reassessment of Potential Economic Impacts,Painted Apple Moth: Reassessment of Potential Economic Impacts,Other,Autres,Otro
215,Pakistan's Agro-based Report Export and Sanitary and Phyto-Sanitary (SPS) Compliance,2006,The World Bank; United Nations Industrial Development Organization (UNIDO),The World Bank,SPS-General,Pakistan,Pakistán,Pakistan,EN,Pakistan's Agro-based Report Export and Sanitary and Phyto-Sanitary (SPS) Compliance.pdf,The World Bank,The World Bank,Pakistan's Agro-based Report Export and Sanitary and Phyto-Sanitary (SPS) Compliance,Pakistan's Agro-based Report Export and Sanitary and Phyto-Sanitary (SPS) Compliance,Report,Rapport,Reporte
216,"Performance, Vision and Strategy (PVS) Report - Socialist Republic of Vietnam",2007,E. Fermet-Quinet; R. Jane; S. Forman,World Organisation for Animal Health (OIE),Animal Health,Viet Nam,Viet Nam,Viet Nam,EN,"Performance, Vision and Strategy - A tool for the governance of Veterinary Services.pdf",World Organisation for Animal Health (OIE),World Organisation for Animal Health (OIE),"Performance, Vision and Strategy (PVS) Report - Socialist Republic of Vietnam","Performance, Vision and Strategy (PVS) Report - Socialist Republic of Vietnam",Other,Autres,Otro
217,"Performance, Vision and Strategy (PVS) for National Food Safety Services",2007,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Food Safety,,,,EN,"Performance, Vision and Strategy (PVS) for National Food Safety Services.pdf",Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Performance, Vision and Strategy (PVS) for National Food Safety Services","Performance, Vision and Strategy (PVS) for National Food Safety Services",Other,Autres,Otro
218,"Performance, Vision and Strategy (PVS) for National Plant Protection Organizations",2006,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Plant Health,,,,EN,"Performance, Vision and Strategy (PVS) for National Plant Protection Organizations.pdf",Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Performance, Vision and Strategy (PVS) for National Plant Protection Organizations","Performance, Vision and Strategy (PVS) for National Plant Protection Organizations",Paper,Papier,Papel
219,"Performance, Vision and Strategy (PVS) for National Veterinary Services",2008,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),Animal Health,,,,EN,"Performance, Vision and Strategy (PVS) for National Veterinary Services.pdf",Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Performance, Vision and Strategy (PVS) for National Veterinary Services","Performance, Vision and Strategy (PVS) for National Veterinary Services",Paper,Papier,Papel
220,"Performance, Vision and Strategy (PVS) for SPS - An Institutional Vision",2008,Inter-American Institute for Cooperation on Agriculture (IICA),Inter-American Institute for Cooperation on Agriculture (IICA),SPS-General,,,,EN,"Performance, Vision and Strategy (PVS) for SPS - An Institutional Vision.pdf",Institut interaméricain de coopération pour l'agriculture (IICA),Instituto Interamericano de Cooperación para la Agricultura (IICA),"Performance, Vision and Strategy (PVS) for SPS - An Institutional Vision","Performance, Vision and Strategy (PVS) for SPS - An Institutional Vision",Paper,Papier,Papel
221,Pest Risk Analysis for South American Leaf Blight of Rubber,2007,Asia Pacific Plant Protection Commission (APPPC),Food and Agriculture Organization (FAO),Plant Health,,,,EN,Pest Risk Analysis for South American Leaf Blight (SALB) of Rubber (Hevea).pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Pest Risk Analysis for South American Leaf Blight of Rubber,Pest Risk Analysis for South American Leaf Blight of Rubber,Other,Autres,Otro
222,Population dynamics and on-farm fruit fly integrated pest management in mango orchards in the natural area of Niayes in Senegal,2008,Mbaye Ndiaye; Elhadji Omar Dieng; Gilles Delhove,"Association for Advancement of Pest Management in Horticultural Ecosystems, Bangalore, India",Plant Health,Senegal,Senegal,Sénégal,EN,Population dynamics and on-farm fruit fly integrated pest management in mango orchards.pdf,"Association for Advancement of Pest Management in Horticultural Ecosystems, Bangalore, India","Association for Advancement of Pest Management in Horticultural Ecosystems, Bangalore, India",Population dynamics and on-farm fruit fly integrated pest management in mango orchards in the natural area of Niayes in Senegal,Population dynamics and on-farm fruit fly integrated pest management in mango orchards in the natural area of Niayes in Senegal,Paper,Papier,Papel
223,Potential Economic Impact on New Zealand of the Painted Apple Moth,2000,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Plant Health,New Zealand,Nueva Zelandia,Nouvelle-Zélande,EN,Potential Economic Impact on New Zealand of the Painted Apple Moth.pdf,Ministry of Agriculture and Forestry (MAF) of New Zealand,Ministry of Agriculture and Forestry (MAF) of New Zealand,Potential Economic Impact on New Zealand of the Painted Apple Moth,Potential Economic Impact on New Zealand of the Painted Apple Moth,Other,Autres,Otro
224,Predicting the effects of climate change on infectious diseases of animals,2008,Jan van Dijk; Matthew Baylis,University of Liverpool,Animal Health,,,,EN,Predicting the effects of climate change on infectious diseases of animals.pdf,University of Liverpool,University of Liverpool,Predicting the effects of climate change on infectious diseases of animals,Predicting the effects of climate change on infectious diseases of animals,Report,Rapport,Reporte
225,Private standards and certification in fisheries and aquaculture - Current practice and emerging issues,2011,Sally Washington; Lahsen Ababouch,Food and Agriculture Organization (FAO),,,,,EN,Private standards and certification in fisheries and aquaculture - Current practice and emerging issues.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Private standards and certification in fisheries and aquaculture - Current practice and emerging issues,Private standards and certification in fisheries and aquaculture - Current practice and emerging issues,Paper,Papier,Papel
226,Procedural Step-by-Step Manual for SPS Notifications Authorities and SPS National Enquiry Points,2011,Sally Jennings,World Trade Organization (WTO) ,SPS-General,,,,EN,Procedural Step-by-Step Manual for SPS Notifications Authorities and SPS National Enquiry Points.pdf,Organisation Mondiale du Commerce (OMC) ,Organización Mundial del Comercio (OMC) ,Procedural Step-by-Step Manual for SPS Notifications Authorities and SPS National Enquiry Points,Procedural Step-by-Step Manual for SPS Notifications Authorities and SPS National Enquiry Points,Other,Autres,Otro
227,Public Private Partnership - the SSAFFE initiative (Safe Supply of Affordable Food Everywhere),2007,Will Hueston; Mike Robach,University of Minnesota,Food Safety,,,,EN,Public Private Partnership - the SSAFFE initiative (Safe Supply of Affordable Food Everywhere).pdf,University of Minnesota,University of Minnesota,Public Private Partnership - the SSAFFE initiative (Safe Supply of Affordable Food Everywhere),Public Private Partnership - the SSAFFE initiative (Safe Supply of Affordable Food Everywhere),Paper,Papier,Papel
228,Public–private partnerships and collective action in high value fruit and vegetable supply chains,2009,Clare Narrod; Devesh Roy; Julius Okello; Belem Avendaño; Karl Rich and Amit Thorat,Elsevier Ltd,Food Safety,Kenya,Kenya,Kenya,EN,Public–private partnerships and collective action in high value fruit and vegetable supply chains.pdf,Elsevier Ltd,Elsevier Ltd,Public–private partnerships and collective action in high value fruit and vegetable supply chains,Public–private partnerships and collective action in high value fruit and vegetable supply chains,Paper,Papier,Papel
229,Public-Private Regulatory Partnerships - What Lessons Can We Learn from the Co-Regulation of Food Safety,,Marian Garcia; Paul Verbruggen; Andrew Fearne,University of Kent,Food Safety,,,,EN,Public-Private Regulatory Partnerships - What Lessons Can We Learn from the Co-Regulation of Food Safety.pdf,University of Kent,University of Kent,Public-Private Regulatory Partnerships - What Lessons Can We Learn from the Co-Regulation of Food Safety,Public-Private Regulatory Partnerships - What Lessons Can We Learn from the Co-Regulation of Food Safety,Journal Article,Journal Article,Journal Arcticle
230,Quantifying investments in fruit fly research and development in the Asia-Pacific region,2009,Dr Paul Vitolovich,Australian Centre for International Agricultural Research (ACIAR),Plant Health,,,,EN,Quantifying investments in fruit fly research and development in the Asia-Pacific region.pdf,Australian Centre for International Agricultural Research (ACIAR),Australian Centre for International Agricultural Research (ACIAR),Quantifying investments in fruit fly research and development in the Asia-Pacific region,Quantifying investments in fruit fly research and development in the Asia-Pacific region,Powerpoint Presentation,Powerpoint Presentation,Powerpoint Presentation
231,Quantifying the Trade Effect of Sanitary and Phytosanitary Regulations of OECD Countries on South African Food Exports,2007,Y. Gebrehiwet; S. Ngqangweni and J.F Kirsten,Agricultural Economics Association of South Africa (AEASA),SPS-General,,,,EN,Quantifying the Trade Effect of Sanitary and Phytosanitary Regulations of OECD Countries on South African Food Exports.pdf,Agricultural Economics Association of South Africa (AEASA),Agricultural Economics Association of South Africa (AEASA),Quantifying the Trade Effect of Sanitary and Phytosanitary Regulations of OECD Countries on South African Food Exports,Quantifying the Trade Effect of Sanitary and Phytosanitary Regulations of OECD Countries on South African Food Exports,Other,Autres,Otro
232,Reconciling Food Safety with Import Facilitation Objectives Helping Developing Country Producers Meet U.S. and EU Food Requirements Through Transatlantic Cooperation,2008,Linda R. Horton; Elisabethann Wright,International Food and Agricultural Trade Policy Council (IPC),Food Safety,,,,EN,Reconciling Food Safety with Import Facilitation Objectives.pdf,International Food and Agricultural Trade Policy Council (IPC),International Food and Agricultural Trade Policy Council (IPC),Reconciling Food Safety with Import Facilitation Objectives Helping Developing Country Producers Meet U.S. and EU Food Requirements Through Transatlantic Cooperation,Reconciling Food Safety with Import Facilitation Objectives Helping Developing Country Producers Meet U.S. and EU Food Requirements Through Transatlantic Cooperation,Report,Rapport,Reporte
233,Red Menace - Stop the Ug99 Fungus Before its Spores Bring Starvation,2010,Brendan I. Koerner,WIRED Magazine,Plant Health,,,,EN,Red Menace - Stop the Ug99 Fungus Before its Spores Bring Starvation.pdf,WIRED Magazine,WIRED Magazine,Red Menace - Stop the Ug99 Fungus Before its Spores Bring Starvation,Red Menace - Stop the Ug99 Fungus Before its Spores Bring Starvation,Other,Autres,Otro
234,Reforming the Regulatory Procedures for Import and Export - Guide for Practitioners,2006,Small and Medium Enterprise Department - The World Bank Group,International Finance Corporation (IFC),SPS-General,,,,EN,Reforming the Regulatory Procedures for Import and Export - Guide for Practitioners.pdf,International Finance Corporation (IFC),International Finance Corporation (IFC),Reforming the Regulatory Procedures for Import and Export - Guide for Practitioners,Reforming the Regulatory Procedures for Import and Export - Guide for Practitioners,Report,Rapport,Reporte
235,Regional Trade Agreements - Treatment of Agriculture,2011,Linda Fulponi; Matthew Shearer; Juliana Almeida,Organisation for Economic Co-operation and Development (OECD),SPS-General,,,,EN,Regional Trade Agreements - Treatment of Agriculture.pdf,Organisation de Coopération et de Développement Économiques (OCDE),Organización para la Cooperación y el Desarrollo Económico (OCDE),Regional Trade Agreements - Treatment of Agriculture,Regional Trade Agreements - Treatment of Agriculture,Paper,Papier,Papel
236,COMESA Regulations on the Application of Sanitary and Phytosanitary Measures,2009,Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA),SPS-General,,,,EN,Regulations on the Application of Sanitary and Phytosanitary Measures - COMESA.pdf,Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA),COMESA Regulations on the Application of Sanitary and Phytosanitary Measures,COMESA Regulations on the Application of Sanitary and Phytosanitary Measures,Paper,Papier,Papel
237,Report of Impact Assessment of SPS Measures: A Case Study of the Impact of Citrus Black Spot on the Citrus Industries in South Africa and Swaziland,2010,U. Kleih; D. Cassidy,Natural Resources Institute (NRI),Plant Health,South Africa,Sudáfrica,Afrique du Sud,EN,Report of Impact Assessment A Case Study of the Impact of Citrus Black Spot in SA and Swaziland.pdf,Natural Resources Institute (NRI),Natural Resources Institute (NRI),Report of Impact Assessment of SPS Measures: A Case Study of the Impact of Citrus Black Spot on the Citrus Industries in South Africa and Swaziland,Report of Impact Assessment of SPS Measures: A Case Study of the Impact of Citrus Black Spot on the Citrus Industries in South Africa and Swaziland,Report,Rapport,Reporte
238,Respuesta del OIRSA a requerimientos en MSF en CA - Taller Sub Regional sobre Cooperación Técnica relacionada con MSF en Centroamérica,2008,Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),SPS-General,,,,SP,Respuesta del OIRSA a requerimientos en MSF en CA (OIRSA).pdf,Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),Organismo Internacional Regional de Sanidad Agropecuria (OIRSA),Respuesta del OIRSA a requerimientos en MSF en CA - Taller Sub Regional sobre Cooperación Técnica relacionada con MSF en Centroamérica,Respuesta del OIRSA a requerimientos en MSF en CA - Taller Sub Regional sobre Cooperación Técnica relacionada con MSF en Centroamérica,Other,Autres,Otro
239,"Review: Case Study of Phytophthora Ramorum, an Emerging Plant Pathogen in Cultivated and Wild Environments",2006,Alison J Wright and James Woodhall,"Department for the Environment, Food and Rural Affairs (Defra)",Plant Health,United Kingdom,Reino Unido,Royaume-Uni,EN,"Review - Case Study of Phytophthora Ramorum, an Emerging Plant Pathogen in Cultivated and Wild Environments.pdf","Department for the Environment, Food and Rural Affairs (Defra)","Department for the Environment, Food and Rural Affairs (Defra)","Review: Case Study of Phytophthora Ramorum, an Emerging Plant Pathogen in Cultivated and Wild Environments","Review: Case Study of Phytophthora Ramorum, an Emerging Plant Pathogen in Cultivated and Wild Environments",Other,Autres,Otro
240,Salmonella Control in Denmark and the EU,2007,Tove Christensen and Lill Andersen,Cornell University,Food Safety,Denmark,Dinamarca,Danemark,EN,Salmonella Control in Denmark and the EU.pdf,Cornell University,Cornell University,Salmonella Control in Denmark and the EU,Salmonella Control in Denmark and the EU,Other,Autres,Otro
241,Salmonella Control Programmes Denmark,2003,"Wegener HC, Hald T, Wong DLF, Madsen M, Korsgaard H, Bager F",Emerging Infectious Diseases,Food Safety,Denmark,Dinamarca,Danemark,EN,Salmonella Control Programmes Denmark.pdf,Emerging Infectious Diseases,Emerging Infectious Diseases,Salmonella Control Programmes Denmark,Salmonella Control Programmes Denmark,Other,Autres,Otro
242,Sanitary and Phytosanitary (SPS) Annex to the SADC Protocol on Trade,2008,Southern African Development Community (SADC),Southern African Development Community (SADC),SPS-General,,,,EN,Sanitary and Phytosanitary Annex to the SADC Protocol on Trade.pdf,Southern African Development Community (SADC),Southern African Development Community (SADC),Sanitary and Phytosanitary (SPS) Annex to the SADC Protocol on Trade,Sanitary and Phytosanitary (SPS) Annex to the SADC Protocol on Trade,Other,Autres,Otro
243,"Sanitary & Phyto-sanitary Capacity Evaluation of The Gambia, Ghana and Nigeria",2005,Kofi Humado,United States Agency for International Development (USAID),SPS-General,Gambia,Gambia,Gambie,EN,"Sanitary and Phytosanitary Capacity Evaluation of The Gambia, Ghana and Nigeria.pdf",United States Agency for International Development (USAID),United States Agency for International Development (USAID),"Sanitary & Phyto-sanitary Capacity Evaluation of The Gambia, Ghana and Nigeria","Sanitary & Phyto-sanitary Capacity Evaluation of The Gambia, Ghana and Nigeria",Report,Rapport,Reporte
244,"Lao People's Democratic Republic - Sanitary and Phytosanitary Measures: Enhancing Trade, Food Safety and Agricultural Health",2009,The World Bank,The World Bank,SPS-General,Lao People's Democratic Republic,Republica Democrática Popular Lao,République démocratique populaire lao,EN,Sanitary and Phytosanitary Measures Enhancing Trade Food Safety  and Agricultural Health.pdf,The World Bank,The World Bank,"Lao People's Democratic Republic - Sanitary and Phytosanitary Measures: Enhancing Trade, Food Safety and Agricultural Health","Lao People's Democratic Republic - Sanitary and Phytosanitary Measures: Enhancing Trade, Food Safety and Agricultural Health",Other,Autres,Otro
245,Sanitary and phytosanitary measures: Enhancing agro-food trade in the Lao PDR,2010,The World Bank,The World Bank,SPS-General,Lao People's Democratic Republic,Republica Democrática Popular Lao,République démocratique populaire lao,EN,Sanitary and Pytosanitary Measures Enhancing agro-food trade in the Lao PDR.pdf,The World Bank,The World Bank,Sanitary and phytosanitary measures: Enhancing agro-food trade in the Lao PDR,Sanitary and phytosanitary measures: Enhancing agro-food trade in the Lao PDR,Other,Autres,Otro
246,"Sanitary, Phytosanitary and Technical Barriers to Trade in the Economic Partnership Agreements between the European Union and the ACP Countries",2010,Denise Prévost,International Centre for Trade and Sustainable Development (ICTSD),SPS-General,,,,EN,"Sanitary, Phytosanitary and Technical Barriers to Trade in the Economic Partnership Agreements between the.pdf",International Centre for Trade and Sustainable Development (ICTSD),International Centre for Trade and Sustainable Development (ICTSD),"Sanitary, Phytosanitary and Technical Barriers to Trade in the Economic Partnership Agreements between the European Union and the ACP Countries","Sanitary, Phytosanitary and Technical Barriers to Trade in the Economic Partnership Agreements between the European Union and the ACP Countries",Other,Autres,Otro
247,Scoping Study on the Damages Inflicted by Fruit Flies on West Africa's Fruit Production and Action Plan for a Coordinated Regional Response,2008,"J. Stonehouse, M. Ritchie, T. Paqui, M. Ndiaye, S. Tchibozo, R. Dabire, L. Jobe, M. Billah",European Union,Plant Health,Benin,Benin,Bénin,EN,Scoping Study on the Damages Inflicted by Fruit Flies.pdf,Union européenne,Unión Europea,Scoping Study on the Damages Inflicted by Fruit Flies on West Africa's Fruit Production and Action Plan for a Coordinated Regional Response,Scoping Study on the Damages Inflicted by Fruit Flies on West Africa's Fruit Production and Action Plan for a Coordinated Regional Response,,,
248,Étude de dimensionnement des dommages infligés à la production fruitière d’Afrique de l’Ouest par les mouches des fruits et Plan d’Action pour une réponse coordonnée au niveau régional,2008,"J. Stonehouse, M. Ritchie, T. Paqui, M. Ndiaye, S. Tchibozo, R. Dabire, L. Jobe, M. Billah",European Union,Plant Health,Benin,Benin,Bénin,FR,Scoping Study on the Damages Inflicted by Fruit Flies_Fr.pdf,Union européenne,Unión Europea,Étude de dimensionnement des dommages infligés à la production fruitière d’Afrique de l’Ouest par les mouches des fruits et Plan d’Action pour une réponse coordonnée au niveau régional,Étude de dimensionnement des dommages infligés à la production fruitière d’Afrique de l’Ouest par les mouches des fruits et Plan d’Action pour une réponse coordonnée au niveau régional,,,
249,Second FAO-WHO Global Forum of Food Safety Regulators - Building effective food safety systems,2004,Food and Agriculture Organisation (FAO) and World Health Organization (WHO),Food and Agriculture Organization (FAO),Food Safety,,,,EN,Second FAO-Who Global Forum of Food Safety Regulators - Building effective food safety systems.pdf,Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO),Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO),Second FAO-WHO Global Forum of Food Safety Regulators - Building effective food safety systems,Second FAO-WHO Global Forum of Food Safety Regulators - Building effective food safety systems,Other,Autres,Otro
